Distance_(pixels),Gray_Value
0,3062.760
1,3161.432
2,3029.654
3,2690.662
4,3905.215
5,4235.979
6,5940.597
7,7752.392
8,9807.737
9,9618.540
10,9386.921
11,11521.659
12,17014.334
13,24463.826
14,28888.059
15,28745.475
16,24754.303
17,22933.338
18,28315.197
19,42605.680
20,57914.785
21,61343.402
22,52686.234
23,38734.445
24,35547.402
25,44326.945
26,58550.117
27,64675.102
28,64384.098
29,54730.695
30,38930.699
31,33147.363
32,41796.750
33,54260.191
34,58327.312
35,52726.938
36,37246.262
37,24622.525
38,20190.930
39,22554.404
40,27369.820
41,25903.885
42,20585.494
43,14984.255
44,11748.018
45,9358.822
46,7579.858
47,7699.260
48,6774.666
49,5926.747
50,5487.483
51,3516.741
52,2593.289
53,3046.622
54,3380.225
55,3074.508
