Distance_(pixels),Gray_Value
0,579.835
1,667.471
2,517.090
3,642.044
4,712.796
5,762.266
6,595.506
7,616.465
8,676.870
9,719.149
10,512.001
11,584.963
12,563.462
13,682.636
14,611.186
15,751.425
16,703.560
17,599.192
18,610.295
19,724.255
20,697.415
21,597.428
22,713.139
23,862.899
24,947.182
25,930.692
26,890.072
27,975.905
28,965.351
29,965.948
30,849.965
31,909.450
32,982.932
33,1107.791
34,1231.208
35,1522.621
36,1427.983
37,1595.754
38,1836.325
39,2184.174
40,2828.205
41,3629.266
42,3668.017
43,3899.896
44,4576.375
45,6350.286
46,9207.396
47,11555.824
48,11322.407
49,9248.230
50,8469.051
51,10721.006
52,16965.586
53,22781.658
54,23746.746
55,19119.586
56,13619.913
57,11872.193
58,17060.777
59,25994.945
60,30963.344
61,28382.174
62,20525.787
63,13578.556
64,12610.435
65,18038.637
66,23721.881
67,24865.525
68,20470.369
69,13918.355
70,9409.220
71,9017.429
72,10799.280
73,12514.581
74,11802.584
75,9204.031
76,6388.026
77,4301.876
78,3716.984
79,3724.219
80,3237.243
81,2739.552
82,2214.786
83,1719.638
84,1512.472
85,1346.316
86,1201.153
87,1279.672
88,983.547
89,830.261
90,817.098
91,812.797
92,794.155
93,875.084
94,949.424
95,839.055
96,788.951
97,888.604
98,804.916
99,859.163
100,722.814
101,695.826
102,768.947
103,584.787
104,447.643
105,624.170
106,570.527
107,597.541
108,762.520
109,630.003
110,577.503
111,666.968
112,643.388
113,487.870
114,610.973
115,605.032
116,508.358
117,526.092
118,510.214
119,494.327
120,526.703
121,554.386
