Distance_(pixels),Gray_Value
0,443.558
1,520.005
2,632.533
3,603.159
4,544.101
5,971.577
6,869.729
7,642.906
8,696.558
9,680.294
10,872.518
11,979.958
12,1131.513
13,768.837
14,763.009
15,974.495
16,966.126
17,704.095
18,890.096
19,1460.638
20,1387.910
21,1160.528
22,1190.635
23,1439.946
24,1121.056
25,1091.776
26,1682.922
27,1612.876
28,1748.964
29,2071.762
30,2672.272
31,2580.866
32,3807.808
33,4654.157
34,6004.166
35,6861.086
36,8572.776
37,9883.537
38,10507.688
39,12903.244
40,15568.660
41,18318.195
42,19137.320
43,21425.682
44,22835.473
45,25231.016
46,28786.166
47,31211.289
48,32365.611
49,31794.029
50,31110.688
51,32689.164
52,35203.980
53,37744.312
54,38624.359
55,36762.758
56,33358.680
57,30973.824
58,30076.244
59,31651.082
60,32423.348
61,29821.092
62,26241.602
63,22320.572
64,20234.301
65,19563.143
66,19638.492
67,18786.834
68,15819.680
69,12616.881
70,11585.906
71,9969.464
72,8698.899
73,7866.498
74,7456.328
75,5726.602
76,5332.233
77,4734.481
78,4025.849
79,4255.525
80,3269.226
81,2853.445
82,2320.994
83,2135.552
84,1777.499
85,1641.885
86,2266.477
87,1219.336
88,1647.130
89,1329.032
90,961.620
91,830.934
92,959.956
93,1003.368
94,716.261
95,850.847
96,695.477
97,1076.907
98,824.856
99,863.491
100,1041.105
101,660.108
102,697.806
103,631.749
104,758.745
105,1027.686
106,742.239
107,763.088
108,572.311
