Distance_(pixels),Gray_Value
0,1004.167
1,1046.026
2,1131.843
3,1278.457
4,1512.272
5,1752.137
6,1964.962
7,2222.660
8,2440.131
9,2463.474
10,2427.811
11,2395.924
12,2369.261
13,2358.574
14,2386.868
15,2545.115
16,2845.577
17,3322.159
18,4082.667
19,5178.895
20,6620.720
21,8474.799
22,10369.328
23,12083.127
24,13114.885
25,13680.588
26,14909.043
27,18501.346
28,24969.342
29,32735.217
30,39460.535
31,42384.102
32,41474.789
33,37999.500
34,34781.324
35,35387.750
36,40938.824
37,48998.793
38,54009.938
39,55683.891
40,53267.672
41,45531.449
42,37760.152
43,34587.020
44,36732.969
45,40049.359
46,42106.547
47,40043.070
48,35098.957
49,28831.326
50,24852.062
51,23424.000
52,22119.463
53,19806.514
54,16905.518
55,14248.235
56,12145.283
57,10729.799
58,9274.521
59,7735.225
60,6291.577
61,4741.126
62,4119.191
63,3732.880
64,3470.207
65,3331.722
66,3348.718
67,3404.444
68,3458.058
69,3400.231
70,3275.139
71,3109.410
72,2943.808
73,2825.910
74,2693.366
75,2455.461
76,2124.132
77,1866.725
78,1594.500
