Distance_(pixels),Gray_Value
0,2182.995
1,3074.277
2,3682.358
3,5401.522
4,6019.276
5,5772.845
6,5334.520
7,4774.414
8,5276.742
9,7062.591
10,11338.150
11,13971.080
12,17158.717
13,14584.354
14,11692.258
15,11044.184
16,12878.521
17,18996.352
18,26512.414
19,31329.396
20,30401.674
21,25315.887
22,20290.639
23,19407.389
24,23759.258
25,34725.156
26,44276.160
27,48044.148
28,42965.012
29,33702.496
30,27479.475
31,28906.049
32,39280.914
33,49932.953
34,56318.383
35,52105.773
36,41828.055
37,30162.996
38,27610.156
39,34866.359
40,44765.125
41,54742.703
42,54571.789
43,44418.281
44,32849.508
45,27196.883
46,28601.783
47,35973.512
48,43366.184
49,44215.352
50,37116.340
51,28816.357
52,22817.854
53,19853.871
54,23017.717
55,26284.070
56,28457.523
57,26908.170
58,21763.889
59,16015.467
60,12345.668
61,11531.809
62,13766.534
63,13948.755
64,13411.594
65,11408.666
66,7298.724
67,6933.255
68,5882.521
69,5651.483
70,4662.581
71,4929.933
72,4874.421
73,2628.316
74,2278.158
75,3303.109
76,3023.008
77,2003.318
78,2676.412
79,1367.557
80,951.327
81,813.409
82,1087.478
