Distance_(pixels),Gray_Value
0,1836.953
1,2102.724
2,2158.549
3,2099.726
4,2033.302
5,2032.217
6,1976.392
7,1987.047
8,2058.123
9,2179.986
10,2355.839
11,2581.076
12,2907.388
13,3306.380
14,3954.254
15,4794.465
16,6082.188
17,7391.052
18,8314.103
19,9080.562
20,10272.566
21,12676.870
22,16699.154
23,21637.562
24,25606.537
25,27026.264
26,26118.988
27,25239.469
28,27634.613
29,34329.047
30,42943.332
31,48929.094
32,50555.090
33,47929.121
34,43414.637
35,41570.102
36,44443.125
37,51312.242
38,56649.785
39,58529.477
40,56313.777
41,50942.520
42,44950.328
43,42911.223
44,45058.156
45,48644.211
46,50728.973
47,48891.855
48,42865.926
49,35201.016
50,29494.105
51,27579.664
52,27675.111
53,27741.549
54,25592.545
55,21797.613
56,17460.033
57,14159.274
58,11880.782
59,10397.184
60,9330.262
61,8164.518
62,6854.959
63,5648.204
64,4824.218
65,4215.353
66,3785.449
67,3374.726
68,3062.304
69,2901.596
70,2636.386
71,2458.309
72,2419.073
73,2398.903
74,2378.067
75,2401.953
76,2398.910
77,2392.922
