Distance_(pixels),Gray_Value
0,3706.178
1,6326.396
2,6870.487
3,6795.051
4,5255.835
5,3808.280
6,6071.289
7,11610.644
8,19542.332
9,23451.635
10,22573.795
11,15968.235
12,13580.381
13,25913.799
14,47626.461
15,61688.738
16,56320.344
17,37180.035
18,26356.535
19,40203.336
20,54746.082
21,63152.531
22,63759.102
23,48430.906
24,32008.246
25,36990.238
26,51818.473
27,59323.031
28,56613.695
29,38720.512
30,23520.305
31,20086.555
32,24459.508
33,26211.996
34,22321.836
35,15051.919
36,8806.049
37,6348.831
38,6116.673
39,5325.311
40,5525.202
41,4112.787
42,3345.374
43,3130.845
44,3263.835
