Distance_(pixels),Gray_Value
0,5419.508
1,5903.669
2,5945.511
3,5841.343
4,6016.045
5,6773.162
6,7362.054
7,7484.400
8,7773.117
9,8103.389
10,8619.865
11,8712.009
12,9135.860
13,9507.472
14,10274.401
15,10879.703
16,11714.136
17,11697.396
18,12286.494
19,13130.731
20,14156.849
21,15016.652
22,15531.953
23,16016.675
24,16782.184
25,17457.557
26,18174.607
27,18706.529
28,19092.748
29,19757.721
30,20278.268
31,21746.031
32,22343.416
33,24280.764
34,24027.422
35,22999.686
36,23718.631
37,25002.822
38,26286.873
39,27207.014
40,27663.465
41,27699.078
42,26858.590
43,27537.887
44,28461.672
45,29049.963
46,30194.418
47,29692.924
48,29732.227
49,29284.473
50,29573.619
51,29581.707
52,30578.562
53,29548.895
54,28877.318
55,28238.238
56,28056.391
57,28545.170
58,28578.400
59,28216.334
60,27383.652
61,26098.891
62,25446.117
63,25789.045
64,25475.615
65,24873.230
66,23989.279
67,23067.891
68,22155.223
69,21761.119
70,21939.982
71,21885.287
72,19746.820
73,18569.463
74,18072.697
75,17360.314
76,16569.746
77,16390.148
78,15589.971
79,14486.253
80,13667.896
81,12911.745
82,12543.786
83,12121.726
84,11528.179
85,10221.430
86,10122.800
87,9164.595
88,8497.134
89,8174.650
90,7598.242
91,6727.760
92,6941.761
93,6585.187
94,5664.624
95,5658.616
96,5254.291
97,5039.301
98,5013.290
99,4174.606
100,4121.021
101,3816.161
102,3951.649
103,3595.488
104,3685.998
105,3673.302
