Distance_(pixels),Gray_Value
0,1467.360
1,1451.470
2,1659.551
3,1790.703
4,1655.963
5,1856.324
6,2039.137
7,2127.174
8,2516.659
9,2650.993
10,2639.416
11,3083.660
12,3955.251
13,4257.006
14,4909.527
15,5880.995
16,6943.037
17,7671.819
18,8621.312
19,9949.886
20,11470.850
21,12662.879
22,14033.929
23,15614.248
24,17681.898
25,19704.846
26,21397.979
27,22982.969
28,25939.379
29,28982.273
30,30707.293
31,32705.488
32,35363.828
33,38626.867
34,39764.461
35,40927.535
36,43503.703
37,47524.902
38,49161.609
39,49594.574
40,51163.824
41,54161.668
42,55845.965
43,55989.789
44,56638.590
45,58245.949
46,59189.754
47,58682.336
48,57746.699
49,58713.059
50,59881.660
51,59350.234
52,57451.508
53,56974.875
54,57522.430
55,56643.312
56,54267.934
57,52430.676
58,51354.766
59,49654.969
60,47044.000
61,44704.922
62,42856.797
63,40989.133
64,38322.812
65,35236.211
66,33227.285
67,31889.525
68,29777.031
69,26511.689
70,24430.295
71,22093.828
72,19815.104
73,18027.414
74,16385.941
75,14576.442
76,12948.226
77,11423.481
78,10006.301
79,8751.305
80,7672.068
81,6647.745
82,5510.731
83,4663.898
84,4195.938
85,3554.451
86,2724.533
87,2633.790
88,2574.465
89,2094.525
90,1882.590
91,1750.119
92,1707.459
93,2002.789
94,1873.785
95,1602.104
96,1541.051
97,1463.068
98,1466.810
99,1694.859
100,1557.015
101,1504.501
