Distance_(pixels),Gray_Value
0,4501.091
1,5930.927
2,7849.942
3,10138.938
4,10909.807
5,11999.134
6,14496.477
7,19360.221
8,24389.656
9,28305.500
10,30137.580
11,30015.650
12,31132.383
13,36020.285
14,43636.086
15,50131.617
16,52489.082
17,49869.742
18,46600.312
19,46320.023
20,49190.277
21,53914.770
22,56243.441
23,55370.965
24,50116.371
25,43594.301
26,40130.711
27,41323.711
28,41517.938
29,39616.633
30,34984.227
31,30085.002
32,24781.225
33,20810.777
34,19157.867
35,18057.783
36,15198.871
37,12313.700
38,10489.897
39,8462.148
40,6669.617
41,5627.059
42,4822.194
43,4350.554
44,3268.030
45,3072.947
46,2187.958
