Distance_(pixels),Gray_Value
0,3420.010
1,3277.616
2,3509.948
3,4402.809
4,5855.428
5,7550.032
6,8510.030
7,9249.063
8,11606.451
9,17234.396
10,24161.582
11,28305.445
12,28641.807
13,26821.805
14,29727.625
15,40193.047
16,52540.398
17,58772.594
18,53965.555
19,44785.336
20,41686.848
21,47832.957
22,56836.660
23,58889.879
24,51811.402
25,39854.531
26,32222.930
27,31490.762
28,32496.699
29,31271.801
30,24836.850
31,17973.830
32,13570.472
33,11551.255
34,10393.716
35,8190.943
36,6274.254
37,4393.151
38,3397.194
39,3200.414
40,3280.886
41,3222.551
42,2748.869
