Distance_(pixels),Gray_Value
0,1749.119
1,1884.731
2,2094.308
3,2225.915
4,2594.281
5,2717.458
6,2930.992
7,3191.116
8,3259.010
9,3728.061
10,4374.164
11,4491.449
12,4736.266
13,5284.823
14,5916.933
15,6743.621
16,7383.524
17,7860.821
18,8156.456
19,8859.853
20,9491.640
21,10889.681
22,11672.478
23,12268.018
24,11935.394
25,13067.854
26,14417.933
27,15943.925
28,16325.994
29,16228.983
30,16405.352
31,17170.518
32,18888.061
33,20139.439
34,19474.740
35,19013.670
36,18485.641
37,19047.977
38,20399.705
39,20703.914
40,20081.531
41,18669.066
42,18265.910
43,18737.285
44,18953.312
45,18381.420
46,17420.004
47,15963.151
48,15280.773
49,15335.257
50,15307.602
51,14274.481
52,12914.402
53,12257.634
54,11361.051
55,11153.216
56,10533.062
57,9679.000
58,8433.108
59,7747.329
60,7367.778
61,6927.683
62,6511.822
63,5586.079
64,4970.688
65,4520.579
66,4272.995
67,3852.857
68,3576.168
69,3188.405
70,2962.107
71,2881.259
72,2528.236
73,2146.913
74,2102.548
75,1956.756
76,1874.592
77,1684.710
78,1732.294
