Distance_(pixels),Gray_Value
0,838.241
1,642.894
2,547.741
3,583.115
4,403.885
5,494.881
6,406.083
7,797.806
8,815.395
9,723.029
10,519.549
11,901.461
12,947.472
13,577.217
14,741.942
15,1098.911
16,873.272
17,736.906
18,711.954
19,927.719
20,1186.536
21,1585.499
22,2104.152
23,2182.135
24,2227.103
25,3492.462
26,4272.521
27,4622.710
28,3899.620
29,4389.921
30,4865.986
31,6063.613
32,5865.278
33,6441.219
34,7325.971
35,8582.146
36,9642.784
37,11626.549
38,15268.439
39,19229.389
40,20083.561
41,20036.008
42,21362.859
43,24887.674
44,26975.480
45,24502.359
46,20990.922
47,20007.293
48,19784.098
49,18143.496
50,14744.679
51,12752.492
52,10375.279
53,8962.381
54,7890.999
55,6724.197
56,6049.229
57,5117.219
58,4669.305
59,4260.677
60,3800.197
61,3418.824
62,2908.347
63,2060.946
64,1739.400
65,1447.796
66,1178.604
67,1004.420
68,796.081
69,1113.786
70,844.459
71,782.773
72,855.948
73,897.395
74,807.774
75,867.134
76,854.069
77,628.489
78,679.839
79,820.576
80,707.984
81,628.260
82,652.559
83,572.641
84,653.238
85,549.327
86,613.601
87,787.021
88,770.906
