Distance_(pixels),Gray_Value
0,2521.047
1,2140.930
2,1361.229
3,1643.736
4,2004.214
5,3968.794
6,5053.377
7,5437.570
8,3989.195
9,3849.354
10,4761.381
11,5878.051
12,6735.137
13,6628.402
14,7869.884
15,8395.050
16,8996.598
17,10579.500
18,12758.882
19,12473.161
20,12944.471
21,13211.536
22,14322.985
23,15319.912
24,18823.625
25,20467.357
26,21157.533
27,19225.053
28,18862.949
29,20353.242
30,23138.000
31,26018.762
32,30327.043
33,31321.086
34,29157.168
35,24878.209
36,24220.568
37,26812.354
38,32918.719
39,39191.637
40,41550.723
41,39851.664
42,30591.578
43,24382.639
44,27402.830
45,33438.281
46,41681.449
47,44356.020
48,41285.730
49,33699.359
50,26953.660
51,25490.512
52,28221.357
53,32915.488
54,37367.547
55,37713.496
56,32515.426
57,26605.092
58,22428.453
59,24031.869
60,25320.471
61,28264.852
62,28606.910
63,25655.504
64,24144.184
65,19113.014
66,16895.232
67,16020.430
68,17599.508
69,18678.938
70,17448.896
71,14362.165
72,12439.467
73,11535.242
74,10306.506
75,10288.863
76,10664.255
77,8309.492
78,7914.610
79,6750.237
80,6082.273
81,5067.283
82,5666.895
83,5011.762
84,4409.465
85,4354.985
86,2586.622
87,3330.998
88,1815.967
89,1514.872
90,1781.498
91,1669.639
92,1591.999
93,1646.552
94,1171.798
