Distance_(pixels),Gray_Value
0,2108.729
1,3700.536
2,4171.360
3,4511.821
4,3627.925
5,5491.258
6,6628.189
7,8792.538
8,7180.754
9,6792.703
10,7313.531
11,8930.430
12,10768.239
13,12823.896
14,12662.185
15,10762.791
16,9547.197
17,9635.713
18,11671.492
19,12035.577
20,12317.872
21,10864.684
22,8383.449
23,8011.679
24,8997.636
25,7640.423
26,8747.811
27,7390.794
28,5881.699
29,5123.900
30,4840.499
31,4291.162
32,4939.445
33,4568.641
