Index;BETELGEUSE ( 15 de marzo);Imax;Imin_1;Imin_2;Imin;V1 (2);Imax;Imin_1;Imin_2;Imin;V2 (5);Imax;Imin_1;Imin_2;Imin;V3 (10);Imax;Imin_1;Imin_2;Imin;V4 (3px);Imax;Imin_1;Imin_2;Imin;V5 (7px);Imax;Imin_1;Imin_2;Imin;V6 (9px);Imax;Imin_1;Imin_2;Imin;V7 (5px);Imax;Imin_1;Imin_2;Imin;V8(3px);Imax;Imin_1;Imin_2;Imin;V9(7px;V_media;S
;SIRIO  (23 de marzo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#¡DIV/0!;#¡DIV/0!
12;12Sirio0006 Bx3 Halfa35nm INT-C-30mm_B_D30mm-L133mm(C) 1s9s Gmax 17-03-16 21-47-29     16 DE MARZO;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
14;14Sirio0009 Bx3 Halfa35nm L30mm_B_D30mm-L238mm 1s7s Gmax 17-03-23 21-15-50;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
15;15Sirio0010 Bx3 Halfa35nm C30mm_B_D30mm-L133mm(C) 1s7s Gmax17-03-23 21-20-55;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
16;16Sirio0012 Bx3 Halfa35nm C50mm_E_D50mm-L222mm 1s13s G776 17-03-23 21-29-27;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
17;17Sirio0014 Bx3 Halfa35nm C65mm_C_D65mm-L162mm  1s13s G584 17-03-23 21-35-19;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
;18Sirio0016 Bx3 Hbeta 8.5nm C30mm_B_D30mm-L133mm 1s6s Gmax 17-03-23 21-44-25;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
;SIRIO  (29 de marzo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#¡DIV/0!;#¡DIV/0!
19;19Sirio0001 Bx3 Halfa35nm LamC-66mm_D66mm-L162mm  17-03-29 21-32-34;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
20;20Sirio0002 Bx3 Hbeta8.5nm LamC-66mm_D66mm-L162mm 17-03-29 21-36-56;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
21;21Sirio0004  Bx3 Halfa35nm LamD-66mm_D_D65mm-L205mm 17-03-29 21-45-14_g4_ap10_Drizzle15;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
22;22Sirio0006  Bx3 Halfa35nm LamA-90mm _A_D90mm-L187mm 1s91s 17-03-29 21-48-54_g4_ap10_Drizzle15;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
23;23Sirio0007 Bx3 Hbeta8.5nm LamA-90mm_A_D90mm-L187mm  17-03-29 21-51-23_g4_ap8_Drizzle15;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;;;;0;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
