Distance_(pixels),Gray_Value
0,0.000
1,297.124
2,645.652
3,763.623
4,758.620
5,666.520
6,814.137
7,1061.006
8,1029.908
9,864.842
10,1008.675
11,1138.700
12,1285.461
13,790.328
14,666.889
15,971.690
16,1042.648
17,551.036
18,570.585
19,589.189
20,963.581
21,981.938
22,856.422
23,747.422
24,1115.701
25,551.254
26,781.093
27,966.604
28,817.396
29,593.264
30,582.222
31,827.145
32,894.383
33,851.653
34,662.677
35,831.837
36,568.940
37,738.680
38,1103.404
39,736.857
40,671.300
41,900.940
42,1287.175
43,924.405
44,1137.168
45,1268.818
46,1232.920
47,936.604
48,1180.608
49,1021.407
50,718.332
51,700.743
52,1114.885
53,1253.695
54,829.152
55,837.543
56,1049.390
57,825.927
58,1402.646
59,1355.251
60,1097.386
61,1398.876
62,1492.864
63,1523.388
64,1236.889
65,2179.178
66,2460.824
67,2773.644
68,2942.719
69,3331.380
70,5666.704
71,6581.894
72,5285.930
73,6070.969
74,9809.366
75,11646.710
76,9126.924
77,8752.876
78,15958.583
79,20348.250
80,16760.934
81,12608.692
82,19905.617
83,29172.420
84,25481.551
85,16467.260
86,23684.775
87,37816.926
88,35870.230
89,22436.826
90,26187.479
91,44567.242
92,46351.605
93,30459.275
94,28100.783
95,45224.809
96,52119.836
97,37466.816
98,28798.602
99,43502.023
100,56302.086
101,43159.664
102,29929.518
103,38700.559
104,52950.113
105,45766.586
106,29909.885
107,32856.004
108,45820.270
109,43173.332
110,28301.949
111,26098.004
112,37546.219
113,37790.656
114,25531.414
115,20343.494
116,26747.037
117,28882.227
118,22256.955
119,15926.802
120,17768.012
121,19812.822
122,15538.717
123,10860.501
124,11930.840
125,12012.240
126,9371.978
127,7465.022
128,5901.065
129,7037.349
130,5561.258
131,3641.193
132,3112.445
133,2739.083
134,1897.339
135,1779.261
136,1416.597
137,896.238
138,1301.799
139,1431.947
140,1502.424
141,1212.083
142,927.160
143,560.224
144,625.908
145,769.012
146,1063.063
147,1085.592
148,965.087
149,1344.462
150,1151.255
151,1172.747
152,1301.437
153,1439.085
154,1643.366
155,1270.100
156,1287.447
157,1017.714
158,1494.533
159,1107.083
160,1319.594
161,1342.573
162,1033.714
163,1007.100
164,720.915
165,806.137
166,848.464
167,937.654
168,803.870
169,958.819
170,813.953
171,776.811
172,620.472
173,736.134
174,1094.784
175,1014.542
176,512.914
177,260.109
178,324.917
179,601.490
180,604.134
181,458.032
182,619.264
183,601.695
184,752.502
185,755.367
186,954.174
187,770.381
188,546.363
189,651.574
190,905.831
191,844.805
192,906.477
193,415.080
194,630.762
195,886.814
196,555.178
197,658.868
198,660.499
199,636.252
200,728.627
