Distance_(pixels),Gray_Value
0,556.019
1,711.036
2,625.795
3,648.197
4,774.484
5,921.510
6,614.263
7,649.611
8,658.407
9,761.847
10,601.582
11,619.928
12,778.402
13,793.972
14,813.885
15,649.154
16,646.121
17,590.447
18,633.310
19,785.913
20,741.324
21,794.368
22,698.613
23,543.291
24,672.993
25,608.984
26,641.712
27,692.363
28,864.773
29,1212.211
30,1455.467
31,1165.679
32,1138.887
33,1981.809
34,1997.300
35,1946.629
36,1710.591
37,1728.615
38,2164.088
39,3337.678
40,3708.721
41,4110.157
42,4466.259
43,6266.854
44,10295.407
45,14920.901
46,15298.851
47,10610.192
48,9518.074
49,15207.789
50,23002.773
51,21746.186
52,13252.849
53,6813.133
54,6829.012
55,8163.449
56,6847.019
57,5298.379
58,5155.858
59,6619.979
60,10751.444
61,17562.604
62,22562.701
63,19876.930
64,17603.762
65,28591.330
66,46480.055
67,51168.605
68,35434.246
69,19187.354
70,19137.105
71,27843.891
72,28005.148
73,18225.408
74,8223.636
75,5287.720
76,4497.557
77,3965.835
78,5256.537
79,6197.600
80,6449.359
81,9625.550
82,16395.939
83,21924.158
84,19699.713
85,13033.359
86,11649.486
87,16140.154
88,18640.260
89,15131.287
90,8507.437
91,5097.779
92,4408.555
93,4680.507
94,3578.068
95,2830.597
96,2159.623
97,1541.843
98,1722.920
99,2007.743
100,2392.019
101,1885.839
102,1487.516
103,1126.888
104,1171.369
105,1114.380
106,892.984
107,847.910
108,794.310
109,586.746
110,691.441
111,720.977
112,804.808
113,1014.370
114,642.720
115,616.717
116,715.864
117,710.264
118,626.712
119,603.856
120,826.603
121,643.689
122,564.014
123,706.716
124,766.128
125,865.011
126,610.868
127,589.084
128,696.766
129,762.999
130,635.839
131,575.175
132,532.100
133,457.334
134,605.221
