Distance_(pixels),Gray_Value
0,891.392
1,639.097
2,867.039
3,694.115
4,465.316
5,639.631
6,1002.322
7,952.655
8,1242.524
9,1279.088
10,1318.949
11,1075.249
12,1027.871
13,923.271
14,1314.764
15,903.500
16,1270.240
17,1614.813
18,1114.217
19,1095.517
20,1061.777
21,1256.689
22,826.424
23,693.237
24,942.495
25,1565.759
26,1749.875
27,2278.689
28,2349.161
29,2342.035
30,3084.437
31,4098.791
32,4328.940
33,4774.189
34,5853.592
35,8140.031
36,12496.306
37,16635.174
38,17644.471
39,14010.524
40,9789.897
41,9657.944
42,18717.939
43,31593.951
44,39872.527
45,35711.727
46,22650.881
47,12134.146
48,14568.451
49,32163.660
50,48498.141
51,53552.824
52,40888.340
53,21684.596
54,12458.634
55,19219.945
56,35638.238
57,46412.852
58,42851.848
59,28878.068
60,15047.230
61,11068.029
62,17205.350
63,23859.887
64,25839.975
65,20222.289
66,11683.973
67,7872.290
68,7726.893
69,8312.623
70,8150.956
71,6577.094
72,4100.625
73,2856.415
74,3072.004
75,3141.422
76,2876.868
77,2241.180
78,1834.843
79,1463.596
80,1169.277
81,1071.511
82,1204.153
83,1524.965
84,1949.555
85,1784.835
86,1258.042
87,983.764
88,718.280
89,856.856
90,1339.160
91,999.768
92,687.504
93,632.169
94,693.901
95,639.698
96,920.950
97,1141.000
98,1059.898
99,558.865
100,843.223
101,884.401
